iter	RMSE
0	0.04304964568
1	0.04301196471
2	0.0429483108
3	0.04290631995
4	0.04286500241
5	0.04281933428
6	0.04278100555
7	0.04273284883
8	0.04269587652
9	0.04267034583
10	0.04264081684
11	0.04260182021
12	0.04256982452
13	0.04253545738
14	0.04251372242
15	0.04246970518
16	0.04243011713
17	0.04239236786
18	0.04236239717
19	0.04233975468
20	0.04231961266
21	0.04229481865
22	0.04227435586
23	0.04224916875
24	0.04221530719
25	0.0421733592
26	0.04213831715
27	0.04209206649
28	0.04207634201
29	0.04204965494
30	0.04202188581
31	0.04198889209
32	0.04195409401
33	0.04192685793
34	0.04189551856
35	0.04187122238
36	0.04184400446
37	0.04181901632
38	0.04178335335
39	0.0417564479
40	0.04173116111
41	0.04171044901
42	0.04167904517
43	0.0416496824
44	0.0416131151
45	0.04158222303
46	0.04155121429
47	0.04151263801
48	0.04148280719
49	0.04146214537
50	0.0414432327
51	0.04141802487
52	0.04140347704
53	0.04138285374
54	0.04134257132
55	0.04131657728
56	0.04127727505
57	0.04125592881
58	0.04124385462
59	0.04122126692
60	0.04118584122
61	0.04115450562
62	0.04114129076
63	0.04110660827
64	0.04108579862
65	0.04105818513
66	0.04102391642
67	0.0409916415
68	0.04096991584
69	0.04095520743
70	0.04092746157
71	0.04090210136
72	0.04087593747
73	0.0408497097
74	0.0408311056
75	0.04081497512
76	0.04079491195
77	0.0407717763
78	0.04076160605
79	0.04074482161
80	0.04072466702
81	0.04070022394
82	0.04067568356
83	0.0406583556
84	0.04064441188
85	0.04062601387
86	0.04060370065
87	0.04057216218
88	0.04055019821
89	0.04053334817
90	0.04050978244
91	0.04048506654
92	0.04046667793
93	0.04044093694
94	0.04041408881
95	0.04037911726
96	0.04035486657
97	0.04032942278
98	0.04030552082
99	0.04028976391
100	0.04027936415
101	0.04025259126
102	0.04023079954
103	0.04021280608
104	0.04019221685
105	0.04017735247
106	0.04016085108
107	0.04014024779
108	0.04011784026
109	0.04009984132
110	0.04008216464
111	0.04006230712
112	0.04005366632
113	0.04003968927
114	0.04001605738
115	0.0399943867
116	0.03997603908
117	0.03995017949
118	0.03992243425
119	0.03990480904
120	0.03989083006
121	0.03987474616
122	0.03985054411
123	0.0398319207
124	0.03980364217
125	0.03978763245
126	0.0397704136
127	0.03974652888
128	0.03972603416
129	0.03970093119
130	0.03968019964
131	0.03966143602
